"dates","prec"
2013-04-06,0
2013-04-06,0
2013-04-06,0
2013-04-06,0
2013-04-06,0
2013-04-06,0
2013-04-06,0
2013-04-06,0
2013-04-06,0
2013-04-06,0
2013-04-06,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-07,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-08,0
2013-04-09,0
2013-04-09,0
2013-04-09,0
2013-04-09,0.200000002980232
2013-04-09,0.100000001490116
2013-04-09,0.400000005960464
2013-04-09,0
2013-04-09,0
2013-04-09,0
2013-04-09,0
2013-04-09,0
2013-04-09,0
2013-04-09,0
2013-04-09,0
2013-04-09,0
2013-04-09,0
2013-04-09,0
2013-04-09,0
2013-04-09,0.500000007450581
2013-04-09,0
2013-04-09,0
2013-04-09,0
2013-04-09,0
2013-04-09,0
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-10,0.400000005960464
2013-04-10,0.400000005960464
2013-04-10,0.200000002980232
2013-04-10,0.700000010430813
2013-04-10,1.10000001639128
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-10,0
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-11,0.300000004470348
2013-04-11,1.60000002384186
2013-04-11,1.10000001639128
2013-04-11,1.10000001639128
2013-04-11,0.100000001490116
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-11,0
2013-04-12,0
2013-04-12,0
2013-04-12,0
2013-04-12,0.500000007450581
2013-04-12,1.80000002682209
2013-04-12,0.900000013411045
2013-04-12,0
2013-04-12,0.100000001490116
2013-04-12,0
2013-04-12,0
2013-04-12,0
2013-04-12,0
2013-04-12,0
2013-04-12,0
2013-04-12,0
2013-04-12,0.400000005960464
2013-04-12,0.100000001490116
2013-04-12,0
2013-04-12,0
2013-04-12,0
2013-04-12,0.200000002980232
2013-04-12,0.400000005960464
2013-04-12,0
2013-04-12,0
2013-04-13,0
