
 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
 1. 5.2002  445.   0.06   0.00    1.0   1.3   6.9   0.0   1.8   0.0      -0.000
 2. 5.2002  444.   0.37   0.00    5.5   1.2   5.3   0.0   0.9   0.0      -0.000
 3. 5.2002  467.   0.10   0.00   27.2   0.2   4.2   0.0   0.1   0.0       0.000
 4. 5.2002  475.   0.10   0.00   15.6   0.1   7.9   0.0   0.1   0.0      -0.000
 5. 5.2002  459.   0.17   0.00    0.0   0.7  14.7   0.0   0.5   0.1      -0.000
 6. 5.2002  453.   0.13   0.00    3.3   0.2   9.4   0.0   0.1   0.0       0.000
 7. 5.2002  444.   0.18   0.00    0.1   2.4   6.5   0.0   1.6   0.8      -0.000
 8. 5.2002  438.   0.00   0.00    0.0   1.4   5.1   0.0   1.1   0.5       0.000
 9. 5.2002  432.   0.00   0.00    0.0   2.1   4.1   0.0   1.4   0.9      -0.000
10. 5.2002  440.   0.88   0.00   14.7   2.5   3.3   0.0   1.1   0.7       0.002
11. 5.2002  449.   0.44   0.00   11.9   0.7   2.7   0.0   0.3   0.1      -0.000
12. 5.2002  445.   0.07   0.00    0.1   1.2   2.5   0.0   0.6   0.5      -0.000
13. 5.2002  440.   0.00   0.00    0.0   1.6   3.4   0.0   0.8   0.9      -0.000
14. 5.2002  439.   0.84   0.00    4.9   2.0   4.0   0.0   0.8   0.5       0.000
15. 5.2002  435.   0.00   0.00    0.0   1.2   3.5   0.0   0.7   0.7       0.000
16. 5.2002  428.   0.00   0.00    0.0   3.3   3.1   0.0   1.1   2.2      -0.000
17. 5.2002  422.   0.00   0.00    0.0   3.2   2.7   0.0   1.1   2.3       0.000
18. 5.2002  421.   0.43   0.00    2.1   1.5   2.3   0.0   0.5   0.6       0.000
19. 5.2002  417.   0.00   0.00    0.0   1.2   2.0   0.0   0.5   0.8       0.000
20. 5.2002  414.   0.00   0.00    0.0   1.6   1.7   0.0   0.5   1.2      -0.000

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
21. 5.2002  410.   0.00   0.00    0.0   2.7   1.5   0.0   0.9   2.0      -0.000
22. 5.2002  415.   1.79   0.00   11.4   4.5   1.3   0.0   1.0   1.9       0.005
23. 5.2002  419.   0.30   0.00    5.3   0.4   1.2   0.0   0.1   0.1      -0.000
24. 5.2002  417.   0.57   0.00    0.6   2.2   1.0   0.0   0.5   1.2       0.000
25. 5.2002  414.  -0.00   0.00    0.0   1.4   0.9   0.0   0.4   1.0      -0.000
26. 5.2002  411.   0.00   0.00    0.0   2.3   0.9   0.0   0.5   1.8       0.000
27. 5.2002  413.   1.25   0.00    5.2   2.3   0.9   0.0   0.3   0.8       0.001
28. 5.2002  412.  -0.00   0.00    0.0   0.6   0.9   0.0   0.1   0.5      -0.000
29. 5.2002  409.   0.00   0.00    0.0   1.7   0.9   0.0   0.4   1.4      -0.000
30. 5.2002  406.   0.00   0.00    0.0   2.1   0.8   0.0   0.4   1.8       0.000
31. 5.2002  403.   0.00   0.00    0.0   2.3   0.8   0.0   0.5   1.8       0.000
 1. 6.2002  399.   0.00   0.00    0.0   2.8   0.8   0.0   0.4   2.4      -0.000
 2. 6.2002  395.   0.00   0.00    0.0   3.5   0.7   0.0   0.7   3.0       0.000
 3. 6.2002  391.   0.00   0.00    0.0   3.4   0.7   0.0   0.7   2.8       0.000
 4. 6.2002  390.   0.86   0.00    2.9   3.8   0.6   0.0   0.5   2.5      -0.000
 5. 6.2002  388.   0.73   0.00    2.4   3.8   0.6   0.0   0.9   2.4      -0.000
 6. 6.2002  386.   0.03   0.00    0.1   1.2   0.5   0.0   0.2   0.9       0.000
 7. 6.2002  405.   0.29   0.00   20.7   0.4   0.5   0.0   0.1   0.1       0.000
 8. 6.2002  404.   0.60   0.00    0.2   1.4   0.4   0.0   0.2   0.6      -0.000
 9. 6.2002  410.   1.26   0.00    9.2   2.4   0.4   0.0   0.3   1.0       0.000

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
10. 6.2002  414.   1.17   0.00    5.9   1.7   0.4   0.0   0.3   0.4      -0.000
11. 6.2002  430.   1.15   0.00   18.3   1.8   0.4   0.0   0.3   0.5       0.000
12. 6.2002  444.   0.75   0.00   14.9   1.0   0.3   0.0   0.1   0.2      -0.000
13. 6.2002  451.   0.43   0.00    8.8   0.5   0.4   0.0   0.0   0.0       0.000
14. 6.2002  462.   1.62   0.00   12.6   1.8   0.6   0.0   0.2   0.1      -0.000
15. 6.2002  455.   0.09   0.00    0.3   1.6   6.1   0.0   0.4   1.2      -0.000
16. 6.2002  448.   0.58   0.00    1.9   1.4   7.4   0.0   0.2   0.6      -0.000
17. 6.2002  438.   0.03   0.00    0.1   4.4   5.6   0.0   0.6   3.8       0.000
18. 6.2002  429.   0.03   0.00    0.1   5.0   4.2   0.0   0.9   4.2      -0.000
19. 6.2002  423.   0.13   0.00    0.4   3.1   3.3   0.0   0.5   2.6      -0.000
20. 6.2002  425.   1.72   0.00    8.6   3.3   2.6   0.0   0.5   1.2       0.002
21. 6.2002  422.   0.03   0.00    0.1   1.4   2.1   0.0   0.3   1.2      -0.000
22. 6.2002  417.   0.00   0.00    0.0   2.9   1.8   0.0   0.5   2.5      -0.000
23. 6.2002  415.   0.50   0.00    1.7   2.4   1.5   0.0   0.5   1.5      -0.000
24. 6.2002  411.   0.00   0.00    0.0   2.9   1.4   0.0   0.5   2.5      -0.000
25. 6.2002  407.   0.03   0.00    0.1   2.6   1.2   0.0   0.4   2.2      -0.000
26. 6.2002  403.   0.00   0.00    0.0   3.4   1.1   0.0   0.5   2.9       0.000
27. 6.2002  401.   0.31   0.00    1.0   2.0   1.0   0.0   0.4   1.4       0.000
28. 6.2002  404.   1.32   0.00    6.0   2.1   0.9   0.0   0.4   0.5       0.002
29. 6.2002  402.   0.06   0.00    0.2   1.0   0.8   0.0   0.3   0.7      -0.000

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
30. 6.2002  400.   0.40   0.00    1.3   2.8   0.7   0.0   0.7   1.9      -0.000
 1. 7.2002  412.   0.81   0.00   13.8   1.0   0.7   0.0   0.1   0.1       0.001
 2. 7.2002  412.   0.96   0.00    2.6   1.7   0.6   0.0   0.3   0.5      -0.000
 3. 7.2002  417.   0.83   0.00    6.3   1.1   0.6   0.0   0.1   0.1       0.000
 4. 7.2002  421.   0.74   0.00    5.5   0.9   0.5   0.0   0.1   0.0      -0.000
 5. 7.2002  419.   0.33   0.00    0.0   1.7   0.5   0.0   0.3   1.1       0.000
 6. 7.2002  417.   0.00   0.00    0.0   1.5   0.6   0.0   0.3   1.2       0.000
 7. 7.2002  415.   0.06   0.00    0.2   1.2   0.6   0.0   0.3   1.0      -0.000
 8. 7.2002  410.   0.00   0.00    0.0   4.3   0.7   0.0   0.7   3.6      -0.000
 9. 7.2002  406.   0.31   0.00    1.0   4.6   0.8   0.0   0.7   3.7       0.000
10. 7.2002  416.   1.65   0.00   14.3   3.5   0.9   0.0   0.5   1.4       0.002
11. 7.2002  413.   0.11   0.00    0.4   2.1   0.9   0.0   0.4   1.6      -0.000
12. 7.2002  414.   1.42   0.00    4.8   3.1   0.8   0.0   0.4   1.4       0.000
13. 7.2002  419.   1.24   0.00    8.0   2.2   0.8   0.0   0.3   0.8       0.000
14. 7.2002  424.   0.27   0.00    6.6   0.4   0.7   0.0   0.1   0.1      -0.000
15. 7.2002  421.   0.58   0.00    0.1   2.4   0.7   0.0   0.4   1.5      -0.000
16. 7.2002  426.   1.36   0.00    7.9   2.4   0.8   0.0   0.3   0.8       0.000
17. 7.2002  491.   0.34   0.00   86.0   0.4  20.6   0.0   0.1   0.0       0.000
18. 7.2002  474.   0.13   0.00   13.8   0.1  30.2   0.0   0.0   0.0      -0.000
19. 7.2002  462.   0.33   0.00    2.9   0.3  14.6   0.0   0.0   0.0      -0.000

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
20. 7.2002  452.   1.14   0.00    1.8   2.8   9.6   0.0   0.3   1.4       0.000
21. 7.2002  452.   1.19   0.00    9.0   1.9   6.7   0.0   0.3   0.5       0.000
22. 7.2002  446.   0.09   0.00    0.3   0.8   5.3   0.0   0.3   0.5       0.000
23. 7.2002  447.   1.24   0.00    7.5   1.9   4.8   0.0   0.3   0.4      -0.000
24. 7.2002  456.   1.16   0.00   14.8   1.7   4.3   0.0   0.3   0.4       0.000
25. 7.2002  454.   1.20   0.00    4.0   2.1   4.3   0.0   0.3   0.6      -0.000
26. 7.2002  451.   0.16   0.00    4.2   0.2   5.6   0.0   0.0   0.0       0.000
27. 7.2002  443.   0.64   0.00    0.0   3.1   5.5   0.0   0.4   2.1      -0.000
28. 7.2002  435.   0.00   0.00    0.0   3.9   4.7   0.0   0.6   3.4       0.000
29. 7.2002  427.   0.00   0.00    0.0   4.1   3.8   0.0   0.6   3.6       0.000
30. 7.2002  420.   0.03   0.00    0.1   3.7   3.0   0.0   0.6   3.1      -0.000
31. 7.2002  415.   0.08   0.00    0.3   3.1   2.4   0.0   0.5   2.6       0.000
 1. 8.2002  433.   1.07   0.00   21.2   1.4   1.9   0.0   0.2   0.2       0.001
 2. 8.2002  428.   0.00   0.00    0.0   3.1   1.6   0.0   0.5   2.7       0.000
 3. 8.2002  425.   0.25   0.00    0.8   2.3   1.4   0.0   0.4   1.7      -0.000
 4. 8.2002  422.   0.14   0.00    0.5   2.7   1.4   0.0   0.4   2.2       0.000
 5. 8.2002  420.   0.28   0.00    0.9   1.3   1.4   0.0   0.2   0.8      -0.000
 6. 8.2002  416.   0.06   0.00    0.2   2.6   1.5   0.0   0.4   2.3       0.000
 7. 8.2002  415.   0.42   0.00    1.4   1.4   1.4   0.0   0.2   0.8       0.000
 8. 8.2002  414.   0.54   0.00    1.9   0.8   1.3   0.0   0.1   0.2      -0.000

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
 9. 8.2002  411.   0.05   0.00    0.0   2.7   1.2   0.0   0.4   2.3      -0.000
10. 8.2002  411.   0.89   0.00    3.0   1.6   1.1   0.0   0.2   0.6       0.000
11. 8.2002  419.   0.90   0.00   10.2   1.3   1.0   0.0   0.2   0.3       0.000
12. 8.2002  417.   0.36   0.00    0.8   1.1   0.9   0.0   0.3   0.5       0.000
13. 8.2002  415.   0.00   0.00    0.0   1.9   0.9   0.0   0.5   1.5       0.000
14. 8.2002  412.   0.00   0.00    0.0   1.3   0.8   0.0   0.2   1.1      -0.000
15. 8.2002  409.   0.00   0.00    0.0   2.8   0.8   0.0   0.4   2.4      -0.000
16. 8.2002  405.   0.00   0.00    0.0   3.1   0.8   0.0   0.4   2.7       0.000
17. 8.2002  401.   0.00   0.00    0.0   2.9   0.8   0.0   0.5   2.5      -0.000
18. 8.2002  398.   0.00   0.00    0.0   2.5   0.8   0.0   0.5   2.1      -0.000
19. 8.2002  394.   0.00   0.00    0.0   3.2   0.8   0.0   0.5   2.8       0.000
20. 8.2002  398.   1.66   0.00    8.4   4.0   0.7   0.0   0.5   2.0       0.002
21. 8.2002  395.   0.03   0.00    0.1   2.1   0.6   0.0   0.4   1.8       0.000
22. 8.2002  393.   0.00   0.00    0.0   1.7   0.6   0.0   0.3   1.5      -0.000
23. 8.2002  396.   0.92   0.00    5.1   1.4   0.5   0.0   0.2   0.3       0.000
24. 8.2002  393.   0.12   0.00    0.1   2.0   0.5   0.0   0.3   1.6       0.000
25. 8.2002  391.  -0.00   0.00    0.0   1.5   0.4   0.0   0.3   1.3      -0.000
26. 8.2002  388.   0.00   0.00    0.0   2.5   0.4   0.0   0.5   2.1      -0.000
27. 8.2002  385.   0.00   0.00    0.0   2.7   0.4   0.0   0.4   2.3       0.000
28. 8.2002  383.   0.00   0.00    0.0   1.6   0.4   0.0   0.3   1.4      -0.000

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
29. 8.2002  381.   0.00   0.00    0.0   1.9   0.3   0.0   0.3   1.7       0.000
30. 8.2002  379.   0.00   0.00    0.0   2.1   0.3   0.0   0.3   1.8      -0.000
31. 8.2002  377.   0.00   0.00    0.0   1.8   0.3   0.0   0.4   1.5       0.000
 1. 9.2002  375.   0.00   0.00    0.0   1.3   0.3   0.0   0.3   1.1       0.000
 2. 9.2002  373.   0.00   0.00    0.0   2.2   0.3   0.0   0.4   1.9      -0.000
 3. 9.2002  371.   0.00   0.00    0.0   1.7   0.3   0.0   0.5   1.4      -0.000
 4. 9.2002  369.   0.00   0.00    0.0   1.4   0.2   0.0   0.3   1.2      -0.000
 5. 9.2002  367.   0.00   0.00    0.0   1.4   0.2   0.0   0.2   1.2      -0.000
 6. 9.2002  366.   0.00   0.00    0.0   1.6   0.2   0.0   0.3   1.4       0.000
 7. 9.2002  363.   0.00   0.00    0.0   1.9   0.2   0.0   0.3   1.7      -0.000
 8. 9.2002  361.   0.00   0.00    0.0   2.3   0.2   0.0   0.4   2.0      -0.000
 9. 9.2002  358.   0.00   0.00    0.0   2.7   0.2   0.0   0.7   2.3      -0.000
10. 9.2002  372.   0.36   0.00   15.3   0.4   0.2   0.0   0.1   0.1       0.001
11. 9.2002  372.   0.49   0.00    0.0   0.7   0.2   0.0   0.1   0.1      -0.000
12. 9.2002  370.   0.03   0.00    0.1   1.9   0.2   0.0   0.4   1.6      -0.000
13. 9.2002  368.   0.00   0.00    0.0   2.0   0.1   0.0   0.3   1.8      -0.000
14. 9.2002  369.   0.46   0.00    1.7   0.6   0.1   0.0   0.1   0.1       0.000
15. 9.2002  367.   0.05   0.00    0.0   1.4   0.1   0.0   0.3   1.2       0.000
16. 9.2002  366.   0.00   0.00    0.0   1.3   0.1   0.0   0.2   1.1      -0.000
17. 9.2002  369.   0.61   0.00    3.9   0.8   0.1   0.0   0.1   0.1       0.001

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
18. 9.2002  368.   0.32   0.00    0.0   0.6   0.1   0.0   0.1   0.2       0.000
19. 9.2002  368.  -0.00   0.00    0.0   0.6   0.1   0.0   0.1   0.5      -0.000
20. 9.2002  367.   0.00   0.00    0.0   0.7   0.1   0.0   0.1   0.6       0.000
21. 9.2002  366.   0.03   0.00    0.1   0.4   0.1   0.0   0.1   0.3      -0.000
22. 9.2002  377.   0.73   0.00   12.2   1.0   0.1   0.0   0.1   0.2       0.001
23. 9.2002  378.   0.39   0.00    0.8   0.4   0.1   0.0   0.0   0.0       0.000
24. 9.2002  376.   0.10   0.00    0.1   1.3   0.1   0.0   0.3   0.9      -0.000
25. 9.2002  384.   0.44   0.00    8.2   0.6   0.1   0.0   0.1   0.1       0.000
26. 9.2002  390.   0.28   0.00    7.2   0.3   0.1   0.0   0.0   0.0       0.000
27. 9.2002  389.   0.63   0.00    0.0   1.4   0.1   0.0   0.2   0.6      -0.000
28. 9.2002  389.   0.03   0.00    0.1   0.5   0.1   0.0   0.1   0.4      -0.000
29. 9.2002  388.   0.00   0.00    0.0   0.6   0.1   0.0   0.1   0.5       0.000
30. 9.2002  387.   0.00   0.00    0.0   1.2   0.1   0.0   0.2   1.1       0.000
 1.10.2002  385.   0.03   0.00    0.1   1.4   0.1   0.0   0.2   1.2      -0.000
 2.10.2002  384.   0.03   0.00    0.1   0.9   0.1   0.0   0.2   0.8       0.000
